company_id,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
372,0.0008620689919155647,0.0008620689900727282,0.000862068966761435,0.000862068983286605,0.000862068979765101,0.0008620689845598498,0.0008620689801259205,0.0008620689866337366,0.00086206897402744,0.0008620689807160413,0.0008620689791122086,0.0008620689866731916,0.0008620689817273871,0.9836206893201351,0.0008620689716757804,0.0008620690163159443,0.0008620689845192287,0.0008620689764335064,0.0008620689821545282,0.0008620689833888774
387,9.276437973098423e-05,0.10680167210269703,9.276437892355397e-05,9.276437965827187e-05,0.10214902844754245,0.04178646607770341,9.276437979206251e-05,9.276438111690551e-05,9.276437968747135e-05,0.6531026011346578,0.016651633779124007,9.276438093675151e-05,9.276438040208008e-05,9.276437995465356e-05,9.276437968051696e-05,0.006786489919257319,9.276437967585538e-05,0.0715161715979478,9.276438089982903e-05,9.27643806112639e-05
392,0.00021186440857200926,0.00021186440967475102,0.00021186440964246194,0.00021186440875822763,0.00021186441077371973,0.00021186440899217,0.00021186440892549923,0.00021186440986392964,0.00021186440847402783,0.00021186440979415697,0.00021186440903235926,0.000211864409504396,0.0002118644091146059,0.00021186440913348236,0.00021186440839982278,0.00021186440880807003,0.00021186440881783842,0.0002118644098948943,0.995974576224204,0.0002118644096195404
414,0.0001369863116987558,0.00013698630248661062,0.0001369863022059735,0.00013698630228754725,0.0001369863025183787,0.9973972602467127,0.00013698630203620257,0.00013698630224928107,0.00013698630217142644,0.0001369863022586202,0.00013698630236851344,0.0001369863020039295,0.0001369863025070354,0.00013698630239224692,0.00013698630169648856,0.00013698630336261145,0.00013698630198442425,0.00013698630226581887,0.00013698630266116167,0.0001369863021322115
443,0.00039682540599410575,0.00039682540726908067,0.0003968254012930782,0.00039682540376782956,0.000396825406457633,0.0003968254044922967,0.04149955376218079,0.0003968254051624946,0.0003968254021127058,0.0003968254013556909,0.0003968254044581391,0.00039682540301461507,0.2900346353164273,0.0003968254045258079,0.6617197790536824,0.0003968254017174659,0.0003968254030679831,0.00039682540438018495,0.00039682540550696103,0.0003968254031332592
454,7.418397679297947e-05,0.9985905044335321,7.418397674499924e-05,7.418397701837586e-05,7.418397733635904e-05,7.418397734587376e-05,7.418397694612777e-05,7.418397729079924e-05,7.418397703491016e-05,7.418397713624889e-05,7.4183977469214e-05,7.418397756496984e-05,7.418397723999e-05,7.418397729147818e-05,7.418397689884222e-05,7.418397708145445e-05,7.418397721033033e-05,7.418397741512504e-05,7.418397724238222e-05,7.418397740718763e-05
455,7.267441957386516e-05,7.26744197536572e-05,7.267441925339206e-05,7.267441930932895e-05,7.267441975720628e-05,7.267441970387066e-05,7.267441965392357e-05,7.26744199141028e-05,7.267441919678699e-05,7.267441949061961e-05,7.267441962548288e-05,7.267441963026257e-05,7.267441968561443e-05,7.267441964372899e-05,0.012474425703784422,7.267441950008021e-05,7.267441939735901e-05,7.267441957240651e-05,0.9862174347440239,7.267441952994446e-05
457,9.708738000462693e-05,0.3841815361879749,9.708737915659279e-05,9.708737958071526e-05,9.708738022276994e-05,9.70873806095833e-05,9.708738122757895e-05,9.708738020994118e-05,9.708737987174205e-05,9.7087380089753e-05,0.4087428121948332,9.708738002952502e-05,9.708738067104669e-05,0.0362287083902304,9.708737928657041e-05,9.708738013005465e-05,9.708738157430702e-05,0.16929354514329717,9.708738044404432e-05,9.708738055541582e-05
462,0.00011764705967281838,0.0001176470606972876,0.00011764705957018741,0.00011764705997653213,0.00011764706040232022,0.00011764706059039852,0.0001176470601751024,0.00011764706031370029,0.0001176470600844583,0.00011764706012221589,0.00011764706076535302,0.00011764707213867463,0.0001176470604272284,0.00011764706020879096,0.00011764705974364435,0.00011764706009609257,0.9977647058437815,0.00011764706039765687,0.00011764706045373876,0.00011764706038227658
474,7.352941270301618e-05,7.352941310741578e-05,7.352941233390898e-05,7.352941234201828e-05,7.35294129299448e-05,0.9986029411595136,7.352941256784255e-05,7.352941275059146e-05,7.352941266320892e-05,7.352941240541449e-05,7.352941295589132e-05,7.352941270441202e-05,7.352941279452848e-05,7.352941270358103e-05,7.35294123273805e-05,7.352941226852128e-05,7.352941257541762e-05,7.352941264966979e-05,7.352941260141384e-05,7.352941310209978e-05
