doc_a,doc_b,correl,euclidean,cosine,cityblock,jaccard,js
10,3,0.867607885842614,1.274674326553743,0.8123973193876193,19.65157058850129,0.8095238095238095,0.7202841692210049
33,3,0.9547709697388836,1.3320027886587789,0.8871157144973822,23.193908023948833,0.8595505617977528,0.7563589006775291
33,10,0.9755235715165671,1.2672442198687304,0.8029539563953536,20.749968168297013,0.8491379310344828,0.7281118674485758
34,3,0.8568848444287704,1.3370274349865117,0.893821180953305,20.57851858622573,0.8728323699421965,0.7621074811337506
34,10,0.6673470207885865,1.3361534401403787,0.8926530077994843,24.5350682953948,0.8818181818181818,0.7692997961180728
34,33,0.9568935018718191,1.3786084685554394,0.9502806547863866,22.886044785832095,0.9180327868852459,0.7990694421226288
49,3,0.9515150353528571,1.3359850401266207,0.8924280137210643,20.750096326713727,0.890625,0.7754008751813659
49,10,1.0133964818943033,1.3248001143131312,0.8775476714420424,21.220557282134525,0.8502994011976048,0.7535966675667829
49,33,0.9600844471409763,1.3857771982668616,0.9601892216181764,24.299057460428802,0.9090909090909091,0.7901795644762423
49,34,0.9993357890036125,1.288292413705602,0.8298486716057025,28.22148685705039,0.8604651162790697,0.7442891186411755
58,3,0.9640773493332156,1.3664334337144235,0.9335701643862957,25.413234029033443,0.8830645161290323,0.7765419086678581
58,10,0.9696120996474487,1.378560196801329,0.9502141081024594,19.727109179651006,0.9366197183098591,0.803944344090317
58,33,0.8947395596425936,1.3493041549590055,0.9103108512948173,21.827470109447397,0.8807339449541285,0.7798012336165244
58,34,0.9267035873124067,1.3151540859072082,0.8648151348392121,19.48477323991022,0.847457627118644,0.7488486688846041
58,49,0.9418927495116565,1.3044096569344013,0.85074227655186,23.208147259875517,0.8745644599303136,0.7512504885723263
63,3,1.0009224566406136,1.3970913425444138,0.9759321097062765,24.7699513230483,0.9252873563218391,0.8048180679786077
63,10,1.0271530018794166,1.3714540813140992,0.9404431485765492,22.02711514340004,0.896414342629482,0.7921442887877527
