term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
technology,0.0003774718149195658,-0.04497763603285427,0.03489008125206534,0.034708722283157654,-0.030292878502686017,0.003804957024270579,0.020303627316192164,-0.016512534634616105,0.05585214107805499,-0.0019592496221397314
world,0.029533940514905595,0.005659237228424652,0.03902951231775048,0.004443714147294442,0.018133138099046542,0.0046185585712122425,-0.0031661126650713856,0.017078516566849722,0.007557545538184496,0.015699844150275238
please,0.02515738883279136,-0.002259691095298333,0.01292091406810214,0.009710639548036068,-0.009648354630816564,0.0635136572424065,-0.004586962252654304,-0.006179494141705275,-0.051277631538248575,-0.007937218291969911
today,-0.008869915715522269,0.00408382833728288,0.015072302245676423,0.009759323461443231,0.006644418593578005,-0.004240163650382323,-0.0027457860850261806,-0.02120348507730528,-0.010826261017300831,0.008267652338266403
sales,0.04195906294674352,-0.02897956057822021,0.008920817753659549,-0.018432421582598613,-0.04593601852278423,0.026047117532152702,-0.05151895917179733,0.09587394299261859,0.035082736630182465,-0.053331119043595186
components,-0.019471417817523352,-0.04537818584062636,0.0045801627352689556,0.02213021702353503,0.03307266123517592,-0.008627400128243944,0.01698889570055137,-0.020792859661955695,0.008674870957136371,-0.07103035764817711
use,0.054610006772702835,-0.027670031508012338,-0.08655266538344208,0.0023256161733576364,0.002610211756767067,-0.0008424490689688605,0.021032574819448785,-0.01862648908859639,-0.01282667444799828,0.03773725641827596
materials,-0.0022313939726942567,-0.007636469308890219,-0.013020166991266624,-0.02554283804373847,0.02355858026723953,-0.06456516157342704,0.01656862972480926,-0.003538611204016273,-0.060464866600593636,0.013739409639207712
email,0.013149856855821263,-0.00781076448433754,0.0010780593504118481,0.031824367137554266,-0.03391555537380441,0.07251617661935843,-0.028205402745731994,-0.05330494304598221,-0.01797211678810967,0.004990942033578061
delivery,-0.02268947930221521,0.02546367237055018,0.007618281843630115,0.011005495374754398,0.00632675403811786,-0.0071195267481455795,0.03343482912338686,-0.002316374299638324,0.0066952859316365965,-0.0005499892364960457
solutions,-0.026337029202347567,-0.03887920009749473,0.061790924827432064,0.06832737364062297,0.023590476364103857,0.012400984068639924,0.04822147234452645,0.12000681072515523,0.08718005334070916,0.0659552886557575
com,0.1050638479338889,-0.0831383498237287,-0.05270930326974144,0.06852078586569377,-0.13579018364523432,-0.042942252649061,-0.1224152510943497,-0.09442277336005053,-0.008626442945845317,0.11955495036769652
system,-0.01239268683071092,-0.01810389663301235,0.04533357572170167,0.05880949958364032,-0.010365711654322318,-0.02040651071614219,0.003978838098302906,0.07602413391023141,0.03165218123962121,0.00994893897681293
steel,0.043330684584039,0.011493124261600788,-0.06247571830739016,-0.009116125065592784,0.03205547104059003,-0.0636342957857692,-0.010548251613427317,0.039729845904356215,-0.04551859632054092,-0.02863613087201612
control,-0.006247114457095458,-0.01717863223629121,0.03375449690066684,0.036512571181390174,0.030338934277786056,-0.02695756140711087,0.017777986535136348,0.06034477045214898,0.025936024905305805,-0.02002240262646226
inc,-0.03645004710890494,-0.014900040832916015,0.028579920290085877,0.014889051683653634,0.18171404685773598,-0.001861344724778835,0.09156300488474367,-0.044491447542996464,-0.10337832467007624,-0.05304419314414459
order,-0.014118641521236508,-0.002847397331206162,-0.0028198827359977702,0.018576990168421258,0.0051958896591225295,0.021917386708614067,-0.005268833543297435,0.029106759314192654,-0.03064200964893457,-0.006469720818271709
engineering,-0.0036865878539057845,-0.02803652744025964,0.03569133068693053,0.023628340340087373,0.033903565591260246,0.0009840328401827525,0.055427563273303365,0.011906240623542674,0.061771526844690436,-0.006685061701145575
machine,-0.045637352595492287,-0.02492499722577207,0.014840378234246547,0.08629136353732335,0.025147791408568182,-0.017362683486357056,0.003818224192958339,-0.061776919371608396,0.0001976231506463505,-0.004203480832298172
machining,-0.0629029225763602,-0.058919922617487026,-0.029480523487259623,0.11898641622078517,0.09159375577176991,-0.06412513188259528,0.1342614649313595,-0.11388449961973651,0.01741385358579403,-0.07036437820144022
variety,0.005176885377291386,-0.0028489757163929074,0.007744106991905985,0.013204875378800733,0.023521938359679473,-0.016813947993433886,-0.001973791008869921,0.0024589287783539082,-0.011057310054297748,-0.019431747485461653
material,-0.02418611605817447,0.030382999516261427,-0.0032512593529049625,-0.017913320926101158,0.012405424405862172,-0.024185701824403938,0.007816543588737956,-0.0001820470035752142,-0.10924128489847178,-0.013171582647386475
systems,0.03639520893167425,-0.02080118164569458,0.039442626261945335,0.057654865118133045,-0.011228238497151152,-0.030175851197248305,0.03775272035135982,0.08239598124631309,0.050899972163416934,0.020832701693415535
